ID;RELEASE;URL;DOWNLOAD LINK;COMPONENT;DESCRIPTION;MD5;S3 PATH;LAST UPDATED;SAP RELEASE DATE;COMMENT
S4HANA23_EXPORT_PART23;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164512023;https://softwaredownloads.sap.com/file/0030000001164512023;EXPORT_PART23;S4CORE108_INST_EXPORT_23.zip;821d491b650d62bb280d8a7062d63787da8e288844bd562181b5b8764e276e3d;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART24;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164522023;https://softwaredownloads.sap.com/file/0030000001164522023;EXPORT_PART24;S4CORE108_INST_EXPORT_24.zip;f3cbff14a863821ac698abad50365902b6cd03fa0b587e4a85b6edc2c255fa61;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART25;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164532023;https://softwaredownloads.sap.com/file/0030000001164532023;EXPORT_PART25;S4CORE108_INST_EXPORT_25.zip;8b45a1eff480937c0ae65d55d36001b1bf0067c433ab5adc5e13353232b34526;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART26;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164542023;https://softwaredownloads.sap.com/file/0030000001164542023;EXPORT_PART26;S4CORE108_INST_EXPORT_26.zip;22418fb9d19c6edb7ec3f09966875eb7cd90eb392ccef010ae7c11772f3c3640;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART27;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164562023;https://softwaredownloads.sap.com/file/0030000001164562023;EXPORT_PART27;S4CORE108_INST_EXPORT_27.zip;c310401f4e93a8f28662f458e9438c7a63543181c70a0afd80a7bc2467c4eb7d;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART28;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164572023;https://softwaredownloads.sap.com/file/0030000001164572023;EXPORT_PART28;S4CORE108_INST_EXPORT_28.zip;daadff1f16e8b03c7ba66c9833294f23dacdb6b2fe0056604a779de165b04af6;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART29;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164582023;https://softwaredownloads.sap.com/file/0030000001164582023;EXPORT_PART29;S4CORE108_INST_EXPORT_29.zip;c4be4ca05ca6ca9ce2aef191402646c3b2bcc1539795255507cbb32cbf0b9836;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART30;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164612023;https://softwaredownloads.sap.com/file/0030000001164612023;EXPORT_PART30;S4CORE108_INST_EXPORT_30.zip;11bd446aeca3183b138ffd273da0e0c1ba2836a8f92f220d7ff0848d5cf0dc5a;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_KERNEL_IGSEXE;S4HANA23;https://me.sap.com/softwarecenter/object/0020000000632872023;https://softwaredownloads.sap.com/file/0020000000632872023;KERNEL_IGSEXE;igsexe_3-70005417.sar;c92e7ed27bd33c9e416a45e363032baad84039bf958f4a182e85b099be3fe377;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/KERNEL;24.08.23;26.05.23;SAP-Kernel 789 PL 100 -> IGS 781 PL 3
S4HANA23_KERNEL_IGSHELPER;S4HANA23;https://me.sap.com/softwarecenter/object/0020000000703122018;https://softwaredownloads.sap.com/file/0020000000703122018;KERNEL_IGSHELPER;igshelper_17-10010245.sar - SAP IGS Fonts and Textures;bc405afc4f8221aa1a10a8bc448f8afd9e4e00111100c5544097240c57c99732;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/KERNEL;24.08.23;12.04.18;IGSHELPER LATEST
S4HANA23_KERNEL_SAPEXE;S4HANA23;https://me.sap.com/softwarecenter/object/0020000001285172023;https://softwaredownloads.sap.com/file/0020000001285172023;KERNEL_SAPEXE;SAPEXE_60-70007807.SAR;a91683a68ca27f1ce4d509fad190d3b52f91087d957ca9798d18caf7d27b6205;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/KERNEL;07.03.24;23.10.23;SAP-Kernel 793 PL 60 -> IGS 781 PL 3
S4HANA23_KERNEL_SAPEXEDB;S4HANA23;https://me.sap.com/softwarecenter/object/0020000001285162023;https://softwaredownloads.sap.com/file/0020000001285162023;KERNEL_SAPEXEDB;SAPEXEDB_60-70007806.SAR;f45d781c6e11894e6b14f7781a87481c81641c470b7c3b089a90747da4255c3a;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/KERNEL;07.03.24;23.10.23;SAP-Kernel 793 PL 60 -> IGS 781 PL 3
